"nom","id","lon","lat","maree_median","maree_min","maree_max"
"Aytre","aytre",-1.13,46.1188,3.59,-3.65,2.42
"Saint Trojan","saint_trojan",-1.2486,45.826,4.295,-4.04,2.88
"Hossegor","hossegor",-1.4429,43.6654,2.81,-2.74,2.04
"Biarritz","biarritz",-1.55684,43.48055,2.795,-2.74,2.04
"Saint Maur des Fossés","saint_maur_des_fosses",2.499,48.798,0,0,0
"Saint Julien du Verdon","saint_julien_du_verdon",6.549,43.91140,0,0,0
"Saint André les Alpes","saint_andre_les_alpes",6.498,43.970495,0,0,0
