nom;id;lon;lat;maree_median
Aytre;aytre;-1.13;46.1188;3.59
Saint Trojan;saint_trojan;-1.2486;45.826;4.295
Hossegor;hossegor;-1.4429;43.6654;2.81
Biarritz;biarritz;-1.55684;43.48055;2.795
Saint André les Alpes;saint_andre_les_alpes;6.50766;43.968;
Saint Maur des fossés;saint_maur_des_fosses;2.49323;48.79395;
